Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Notes,RPE
2026-03-31,Chest & Biceps🃏,58m,Forearm Curl (Cable),F,42.5,6.0,,10.0
2026-03-31,Chest & Biceps🃏,58m,Arsenal Strength Chest Fly (Machine),F,250.0,9.0,"2x8-10(F), 3 mins",10.0
2026-03-31,Chest & Biceps🃏,58m,Arsenal Strength Chest Fly (Machine),F,220.0,9.0,,10.0
2026-04-01,Back & Triceps✝️,1h 22m,Lat Pulldown - Wide Grip (Cable),W,100.0,8.0,"2x6-8(F), 4 mins",
2026-04-01,Back & Triceps✝️,1h 22m,Lat Pulldown - Wide Grip (Cable),F,165.0,6.0,,10.0
2026-04-01,Back & Triceps✝️,1h 22m,Lat Pulldown - Wide Grip (Cable),F,150.0,6.0,,10.0
2026-04-01,Back & Triceps✝️,1h 22m,Single Arm Tricep Extension (Cable),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-04-01,Back & Triceps✝️,1h 22m,Single Arm Tricep Extension (Cable),F,35.0,6.0,,10.0
2026-04-01,Back & Triceps✝️,1h 22m,Single Arm Tricep Extension (Cable),F,30.0,8.0,,10.0
2026-04-01,Back & Triceps✝️,1h 22m,Kelso Shrug (Machine),F,130.0,7.0,"2x6-8(F), 3 mins",10.0
2026-04-01,Back & Triceps✝️,1h 22m,Kelso Shrug (Machine),F,130.0,6.0,,10.0
2026-04-01,Back & Triceps✝️,1h 22m,Tricep Press (Machine),F,225.0,6.0,"2x6-8(F), 3 mins",10.0
2026-04-01,Back & Triceps✝️,1h 22m,Tricep Press (Machine),F,225.0,7.0,,10.0
2026-04-01,Back & Triceps✝️,1h 22m,Arsenal Strength Reloaded Iso Multi Row,F,165.0,6.0,1x6-8(F),10.0
2026-04-06,Chest & Biceps🃏,39m,Single Arm Preacher Curl (Machine),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-04-06,Chest & Biceps🃏,39m,Single Arm Preacher Curl (Machine),F,72.5,8.0,,10.0
2026-04-06,Chest & Biceps🃏,39m,Single Arm Preacher Curl (Machine),F,75.0,5.0,,10.0
2026-04-06,Chest & Biceps🃏,39m,Incline Bench Press (Smith Machine),W,20.0,10.0,"2x6-8(F), 4 mins",
2026-04-06,Chest & Biceps🃏,39m,Incline Bench Press (Smith Machine),W,70.0,8.0,,
2026-04-06,Chest & Biceps🃏,39m,Incline Bench Press (Smith Machine),W,110.0,5.0,,
2026-04-06,Chest & Biceps🃏,39m,Incline Bench Press (Smith Machine),F,165.0,6.0,,10.0
2026-04-06,Chest & Biceps🃏,39m,Incline Bench Press (Smith Machine),F,160.0,5.0,,10.0
2026-04-06,Chest & Biceps🃏,39m,Forearm Curl (Cable),F,65.0,6.0,"2x6-8(F), 3 mins",10.0
2026-04-06,Chest & Biceps🃏,39m,Arsenal Strength Chest Fly (Machine),F,250.0,8.0,"2x8-10(F), 3 mins",10.0
2026-04-07,Back & Triceps✝️,59m,Lat Pulldown - Wide Grip (Cable),W,100.0,8.0,"2x6-8(F), 4 mins",
2026-04-07,Back & Triceps✝️,59m,Lat Pulldown - Wide Grip (Cable),F,165.0,8.0,,10.0
2026-04-07,Back & Triceps✝️,59m,Lat Pulldown - Wide Grip (Cable),F,170.0,6.0,,10.0
2026-04-07,Back & Triceps✝️,59m,Single Arm Tricep Extension (Cable),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-04-07,Back & Triceps✝️,59m,Single Arm Tricep Extension (Cable),F,35.0,6.0,,10.0
2026-04-07,Back & Triceps✝️,59m,Single Arm Tricep Extension (Cable),F,32.5,7.0,,10.0
2026-04-07,Back & Triceps✝️,59m,Kelso Shrug (Machine),F,130.0,8.0,"2x6-8(F), 3 mins",10.0
2026-04-07,Back & Triceps✝️,59m,Kelso Shrug (Machine),F,145.0,6.0,,10.0
2026-04-07,Back & Triceps✝️,59m,Tricep Press (Machine),F,225.0,8.0,"2x6-8(F), 3 mins",10.0
2026-04-07,Back & Triceps✝️,59m,Tricep Press (Machine),F,230.0,5.0,,10.0
2026-04-07,Back & Triceps✝️,59m,Arsenal Strength Reloaded Iso Multi Row,F,165.0,8.0,1x6-8(F),10.0
2026-04-08,Legs 🐓 ,28m,Romanian Deadlift (Barbell),W,95.0,10.0,1x6-8(F),
2026-04-08,Legs 🐓 ,28m,Romanian Deadlift (Barbell),W,135.0,6.0,,
2026-04-08,Legs 🐓 ,28m,Romanian Deadlift (Barbell),F,235.0,6.0,,10.0
2026-04-08,Legs 🐓 ,28m,Pendulum Squat (Machine),W,160.0,6.0,"1x6-8(F), 4 mins",
2026-04-08,Legs 🐓 ,28m,Pendulum Squat (Machine),F,220.0,7.0,,10.0
